epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5543,1.06027,0.95674,1.16742,0.93956,0.9317,0.9697,0.72411,0.87155,0.77473,1.06537,0.000655367,0.000655367,0.000655367
2,28.4612,0.93871,0.60365,1.08461,0.92359,0.89651,0.96001,0.70122,0.91195,0.64364,1.07544,0.00106027,0.00106027,0.00106027
3,39.1611,0.92177,0.57794,1.07883,0.96952,0.9429,0.97997,0.74199,0.8441,0.49573,1.0472,0.00120118,0.00120118,0.00120118
4,49.8612,0.8658,0.52323,1.05834,0.95817,0.94931,0.98325,0.75638,0.79461,0.46383,1.01161,0.000812,0.000812,0.000812
5,60.5174,0.79957,0.47731,1.01829,0.97446,0.96158,0.98954,0.78905,0.72897,0.38696,0.98129,0.000416,0.000416,0.000416
