epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2336,1.07337,1.07765,1.17245,0.93278,0.90502,0.94982,0.68674,0.86504,0.6789,1.05548,0.000655367,0.000655367,0.000655367
2,22.9558,0.94391,0.6155,1.09089,0.91918,0.92263,0.95889,0.6999,0.86272,0.66867,1.07057,0.00129586,0.00129586,0.00129586
3,33.5515,0.92941,0.59762,1.08259,0.95182,0.93818,0.9751,0.70797,0.88577,0.5545,1.08133,0.00190995,0.00190995,0.00190995
4,44.136,0.91189,0.57136,1.08427,0.95336,0.95411,0.97565,0.73481,0.84789,0.49365,1.05131,0.0018812,0.0018812,0.0018812
5,54.6624,0.87966,0.53705,1.05769,0.96009,0.95004,0.98358,0.756,0.82244,0.45701,1.04998,0.0018416,0.0018416,0.0018416
6,65.1668,0.85403,0.51314,1.04979,0.97206,0.94666,0.98696,0.75625,0.80968,0.45964,1.04515,0.001802,0.001802,0.001802
7,75.6622,0.83535,0.50137,1.04317,0.95869,0.96478,0.98377,0.75883,0.80071,0.47329,1.04199,0.0017624,0.0017624,0.0017624
8,86.16,0.83066,0.49979,1.04062,0.97191,0.95991,0.98841,0.75969,0.79422,0.43877,1.03777,0.0017228,0.0017228,0.0017228
9,96.7016,0.80181,0.48952,1.03068,0.97138,0.96005,0.99006,0.77243,0.77236,0.42667,1.02439,0.0016832,0.0016832,0.0016832
10,107.292,0.80316,0.47681,1.02993,0.97111,0.96845,0.99051,0.76068,0.79222,0.42636,1.03614,0.0016436,0.0016436,0.0016436
11,117.98,0.78356,0.46168,1.0102,0.96176,0.96625,0.9874,0.77593,0.76506,0.43207,1.02121,0.001604,0.001604,0.001604
12,128.855,0.77332,0.45236,1.01051,0.97645,0.97343,0.9911,0.78227,0.77088,0.3918,1.02011,0.0015644,0.0015644,0.0015644
13,139.724,0.74897,0.44,1.00372,0.97419,0.96678,0.98941,0.78204,0.74543,0.37853,1.01681,0.0015248,0.0015248,0.0015248
14,150.523,0.74811,0.44117,0.99942,0.98229,0.97012,0.99222,0.79047,0.7433,0.37817,1.00328,0.0014852,0.0014852,0.0014852
15,161.357,0.72743,0.42487,0.99026,0.98112,0.97034,0.9921,0.77711,0.7517,0.38181,1.02573,0.0014456,0.0014456,0.0014456
16,172.131,0.71824,0.42033,0.98428,0.98318,0.97385,0.99149,0.78138,0.75965,0.39201,1.0266,0.001406,0.001406,0.001406
17,182.791,0.70853,0.4165,0.97997,0.98166,0.97128,0.99145,0.79149,0.73751,0.37437,1.02107,0.0013664,0.0013664,0.0013664
18,193.612,0.70646,0.4153,0.98104,0.98566,0.97225,0.99367,0.79755,0.71769,0.36668,0.99151,0.0013268,0.0013268,0.0013268
19,204.381,0.6945,0.40461,0.97433,0.98197,0.97172,0.99166,0.79477,0.71995,0.35826,1.00311,0.0012872,0.0012872,0.0012872
20,214.963,0.69024,0.40032,0.96887,0.98108,0.97492,0.99315,0.79959,0.7173,0.36199,0.99829,0.0012476,0.0012476,0.0012476
21,225.473,0.688,0.41207,0.97804,0.98081,0.96585,0.9919,0.79244,0.72007,0.36222,0.99566,0.001208,0.001208,0.001208
22,235.945,0.67376,0.39782,0.9704,0.98585,0.97172,0.99219,0.79692,0.7152,0.34864,0.99788,0.0011684,0.0011684,0.0011684
23,246.495,0.66755,0.38602,0.96709,0.98984,0.97012,0.99226,0.79597,0.72974,0.35202,1.01054,0.0011288,0.0011288,0.0011288
24,257.047,0.65423,0.38267,0.95917,0.97752,0.97463,0.98881,0.78895,0.72887,0.35452,1.01941,0.0010892,0.0010892,0.0010892
25,267.579,0.65352,0.38105,0.95866,0.98579,0.98346,0.99335,0.80116,0.70251,0.33442,0.99709,0.0010496,0.0010496,0.0010496
26,278.145,0.64093,0.37087,0.95209,0.97942,0.97652,0.99279,0.79929,0.70376,0.33856,1.00214,0.00101,0.00101,0.00101
27,288.689,0.63541,0.368,0.94723,0.98175,0.97589,0.9926,0.79371,0.70325,0.3361,0.99339,0.0009704,0.0009704,0.0009704
28,299.166,0.63977,0.36584,0.94931,0.98868,0.97886,0.99395,0.79272,0.71274,0.34199,1.00048,0.0009308,0.0009308,0.0009308
29,309.617,0.63291,0.36563,0.95514,0.98111,0.98453,0.99385,0.79917,0.70856,0.33145,1.00274,0.0008912,0.0008912,0.0008912
30,320.136,0.61094,0.3571,0.94321,0.98527,0.97759,0.99375,0.79979,0.70844,0.32737,1.00206,0.0008516,0.0008516,0.0008516
