experimento,modelo,split,precision,recall,map50,map50_95,f1,total_time_sec,ms_per_image,val_time_sec,detect_time_sec,match_time_sec,device
E01,YOLOv5s_autoral,pig_val (136 imgs),0.953183,0.917823,0.969772,0.663137,0.935169,46.415,341.28,38.557,7.171,0.671,0
E02,YOLOv8s_autoral,pig_val (136 imgs),0.975149,0.971185,0.982361,0.77791,0.973163,16.22,119.26,12.692,2.311,1.197,0
E03,YOLO11s_autoral,pig_val (136 imgs),0.966451,0.968423,0.982266,0.76135,0.967436,16.605,122.1,12.95,2.947,0.694,0
