epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6617,1.06027,0.95674,1.16742,0.93956,0.9317,0.9697,0.72411,0.87155,0.77473,1.06537,0.000655367,0.000655367,0.000655367
2,28.5355,0.96092,0.62726,1.09319,0.76077,0.71665,0.78983,0.51591,1.147,1.02954,1.23431,0.00125659,0.00125659,0.00125659
3,39.1535,0.9692,0.61668,1.10699,0.90411,0.89488,0.94463,0.67376,0.94818,0.81895,1.13827,0.00179182,0.00179182,0.00179182
4,49.8073,0.94399,0.58111,1.09796,0.91524,0.91782,0.95862,0.69712,0.96212,0.71686,1.12738,0.001703,0.001703,0.001703
5,60.4029,0.91129,0.54524,1.0745,0.9532,0.93863,0.97906,0.73198,0.86429,0.48875,1.05015,0.001604,0.001604,0.001604
6,71.0988,0.86674,0.51883,1.05035,0.92871,0.94397,0.97597,0.73739,0.83934,0.57368,1.06225,0.001505,0.001505,0.001505
7,81.7867,0.83711,0.50791,1.04144,0.95414,0.9548,0.98088,0.74857,0.82297,0.50324,1.05051,0.001406,0.001406,0.001406
8,92.4292,0.82528,0.49345,1.03541,0.95574,0.96158,0.98701,0.74347,0.84508,0.46704,1.06019,0.001307,0.001307,0.001307
9,103.038,0.81062,0.48651,1.0315,0.96993,0.96692,0.98763,0.76823,0.78722,0.44433,1.02991,0.001208,0.001208,0.001208
10,113.71,0.79934,0.46833,1.02465,0.9778,0.96692,0.99021,0.77363,0.78018,0.41828,1.02377,0.001109,0.001109,0.001109
11,137.638,0.73648,0.42242,0.98612,0.95864,0.94771,0.98068,0.76094,0.77805,0.45064,1.00512,0.00101,0.00101,0.00101
12,147.885,0.7144,0.40035,0.97608,0.97792,0.97118,0.99162,0.7786,0.75047,0.39564,1.00785,0.000911,0.000911,0.000911
13,158.162,0.69263,0.39782,0.96204,0.97575,0.95678,0.98773,0.78664,0.72822,0.38635,1.00235,0.000812,0.000812,0.000812
14,168.447,0.6721,0.37724,0.95769,0.97632,0.96805,0.99125,0.7948,0.72398,0.36984,0.99202,0.000713,0.000713,0.000713
15,178.915,0.65421,0.36696,0.94672,0.9754,0.97012,0.98884,0.78818,0.72128,0.37282,0.9931,0.000614,0.000614,0.000614
16,189.346,0.63823,0.35515,0.92912,0.97646,0.97705,0.99062,0.79503,0.71311,0.35611,0.98688,0.000515,0.000515,0.000515
17,199.749,0.61671,0.34171,0.92779,0.9728,0.97333,0.99051,0.8006,0.69999,0.34433,0.98603,0.000416,0.000416,0.000416
18,210.066,0.60076,0.33061,0.91768,0.97698,0.97366,0.99234,0.80333,0.69524,0.34058,0.97538,0.000317,0.000317,0.000317
19,220.45,0.57677,0.31988,0.90935,0.97542,0.97385,0.99181,0.80816,0.68646,0.33108,0.97757,0.000218,0.000218,0.000218
20,230.811,0.55796,0.30942,0.90073,0.97632,0.97225,0.99199,0.81011,0.67672,0.32283,0.97056,0.000119,0.000119,0.000119
