               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,     metrics/pig_mAP,  metrics/pig_mAP_50
                   0,            0.094283,               0.124,                   0,             0.34241,             0.72092,             0.40252,              0.1364,            0.068711,             0.10719,                   0,            0.070508,           0.0032768,           0.0032768,              0.1364,             0.40252
                   1,            0.058956,             0.10473,                   0,             0.59219,              0.8079,             0.74543,             0.37118,            0.049417,            0.058954,                   0,            0.038327,           0.0044288,           0.0044288,             0.37118,             0.74543
                   2,            0.050402,            0.098361,                   0,             0.70315,             0.82231,             0.82798,             0.44088,            0.041493,            0.054691,                   0,           0.0039458,           0.0033808,           0.0033808,             0.44088,             0.82798
