               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,     metrics/pig_mAP,  metrics/pig_mAP_50
                   0,            0.094283,               0.124,                   0,             0.34241,             0.72092,             0.40252,              0.1364,            0.068711,             0.10719,                   0,            0.070508,           0.0032768,           0.0032768,              0.1364,             0.40252
                   1,            0.062074,             0.10362,                   0,             0.71714,             0.74173,              0.8106,              0.3077,            0.055307,            0.057805,                   0,            0.039854,           0.0059558,           0.0059558,              0.3077,              0.8106
                   2,            0.057873,            0.096831,                   0,             0.59594,             0.77914,             0.74078,             0.37026,            0.052701,            0.060406,                   0,           0.0085397,           0.0079747,           0.0079747,             0.37026,             0.74078
                   3,            0.051212,            0.089641,                   0,             0.91216,             0.89915,             0.95991,              0.5661,             0.03651,             0.05203,                   0,             0.00703,             0.00703,             0.00703,              0.5661,             0.95991
                   4,            0.044998,            0.089388,                   0,             0.97057,             0.93257,             0.97758,              0.6179,            0.034484,            0.051337,                   0,             0.00703,             0.00703,             0.00703,              0.6179,             0.97758
                   5,            0.039384,            0.087326,                   0,             0.97556,             0.93704,             0.98342,              0.6596,            0.032214,            0.050336,                   0,             0.00604,             0.00604,             0.00604,              0.6596,             0.98342
                   6,             0.03531,            0.082042,                   0,             0.97436,             0.95325,             0.98618,             0.69349,            0.029981,            0.049473,                   0,             0.00505,             0.00505,             0.00505,             0.69349,             0.98618
                   7,             0.03284,            0.082725,                   0,             0.97794,             0.95945,             0.99008,             0.73858,            0.025039,            0.046375,                   0,             0.00406,             0.00406,             0.00406,             0.73858,             0.99008
                   8,            0.030554,            0.077771,                   0,             0.97508,             0.96045,             0.98963,             0.75454,            0.023768,            0.045834,                   0,             0.00307,             0.00307,             0.00307,             0.75454,             0.98963
                   9,            0.028809,            0.078433,                   0,             0.98096,             0.96212,             0.99158,             0.75932,            0.022764,            0.045023,                   0,             0.00208,             0.00208,             0.00208,             0.75932,             0.99158
