epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3195,1.07337,1.07765,1.17245,0.93278,0.90502,0.94982,0.68674,0.86504,0.6789,1.05548,0.000655367,0.000655367,0.000655367
2,23.0072,0.93834,0.61783,1.08941,0.93926,0.9242,0.96507,0.72259,0.85351,0.67379,1.07015,0.00125659,0.00125659,0.00125659
3,33.5873,0.91712,0.59443,1.07561,0.94901,0.92423,0.97313,0.71877,0.84944,0.56599,1.08054,0.00179182,0.00179182,0.00179182
4,44.005,0.9091,0.56618,1.08431,0.94215,0.94721,0.97256,0.73469,0.83582,0.52446,1.07237,0.001703,0.001703,0.001703
5,54.5053,0.86144,0.52931,1.05253,0.94296,0.95277,0.97992,0.75779,0.78969,0.45389,1.03033,0.001604,0.001604,0.001604
6,65.0185,0.8264,0.5038,1.03737,0.96321,0.94988,0.98421,0.74737,0.81644,0.49475,1.04687,0.001505,0.001505,0.001505
7,75.5159,0.8055,0.4914,1.02742,0.95183,0.93841,0.98219,0.75266,0.79546,0.45906,1.02096,0.001406,0.001406,0.001406
8,86.0037,0.79965,0.47989,1.02563,0.97941,0.95784,0.98905,0.76506,0.77031,0.41096,1.01604,0.001307,0.001307,0.001307
9,96.5424,0.77655,0.46767,1.01515,0.97787,0.9669,0.9908,0.78566,0.75094,0.40387,1.00705,0.001208,0.001208,0.001208
10,107.141,0.76643,0.45256,1.01401,0.96935,0.96158,0.99164,0.78519,0.76393,0.39861,1.00522,0.001109,0.001109,0.001109
11,130.643,0.70294,0.39939,0.97513,0.96989,0.96257,0.98867,0.78341,0.74619,0.39509,1.01451,0.00101,0.00101,0.00101
12,140.907,0.67443,0.38087,0.96966,0.97111,0.97012,0.99092,0.78933,0.73228,0.38408,1.00035,0.000911,0.000911,0.000911
13,151.087,0.65912,0.37192,0.95522,0.97973,0.97332,0.99304,0.78599,0.72601,0.37114,0.99636,0.000812,0.000812,0.000812
14,161.189,0.63581,0.35869,0.94598,0.97743,0.97064,0.9912,0.79031,0.73521,0.36342,1.01734,0.000713,0.000713,0.000713
15,171.373,0.62353,0.35195,0.94024,0.98382,0.97343,0.99211,0.79235,0.72612,0.35445,1.00862,0.000614,0.000614,0.000614
16,181.593,0.60605,0.3312,0.92461,0.98321,0.97545,0.99241,0.80027,0.70253,0.33731,1.00831,0.000515,0.000515,0.000515
17,191.745,0.58371,0.31949,0.91967,0.98545,0.97566,0.99294,0.80262,0.70185,0.32846,0.99533,0.000416,0.000416,0.000416
18,201.932,0.5632,0.30792,0.90885,0.98131,0.98047,0.99312,0.81055,0.68605,0.32326,0.98856,0.000317,0.000317,0.000317
19,212.072,0.54109,0.29658,0.90128,0.98562,0.98346,0.99403,0.81212,0.68567,0.31373,0.99254,0.000218,0.000218,0.000218
20,222.179,0.52191,0.28825,0.89093,0.98818,0.98159,0.99394,0.80977,0.68877,0.3109,0.99482,0.000119,0.000119,0.000119
