epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4524,1.06027,0.95674,1.16742,0.93956,0.9317,0.9697,0.72411,0.87155,0.77473,1.06537,0.000655367,0.000655367,0.000655367
2,28.3406,0.93528,0.60024,1.0822,0.90931,0.92557,0.96149,0.69818,0.93401,0.67006,1.07358,0.000994831,0.000994831,0.000994831
3,39.0712,0.90401,0.56109,1.06958,0.9617,0.96371,0.98174,0.75609,0.80986,0.47164,1.0227,0.00100429,0.00100429,0.00100429
4,49.7501,0.83728,0.49994,1.0459,0.96592,0.96805,0.98922,0.76878,0.78862,0.4068,1.01033,0.000515,0.000515,0.000515
