               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,     metrics/pig_mAP,  metrics/pig_mAP_50
                  33,            0.022524,             0.06269,                   0,              0.9867,             0.97012,             0.99288,             0.79598,             0.02026,            0.044229,                   0,            0.003664,            0.003664,            0.003664,             0.79598,             0.99288
                  34,            0.022472,            0.061628,                   0,             0.98697,             0.96998,             0.99269,              0.7944,             0.02059,            0.043728,                   0,            0.003466,            0.003466,            0.003466,              0.7944,             0.99269
                  35,            0.022185,            0.063764,                   0,             0.99074,             0.96905,             0.99283,             0.79913,            0.019776,            0.044123,                   0,            0.003268,            0.003268,            0.003268,             0.79913,             0.99283
                  36,            0.021328,            0.057792,                   0,             0.98863,             0.97405,             0.99363,             0.79681,            0.019883,            0.042998,                   0,             0.00307,             0.00307,             0.00307,             0.79681,             0.99363
                  37,            0.021513,            0.060041,                   0,              0.9823,             0.97743,             0.99368,             0.80406,            0.019581,            0.043076,                   0,            0.002872,            0.002872,            0.002872,             0.80406,             0.99368
                  38,            0.021074,            0.059251,                   0,             0.98951,             0.97385,             0.99356,             0.80478,            0.019695,            0.044285,                   0,            0.002674,            0.002674,            0.002674,             0.80478,             0.99356
                  39,            0.021101,            0.058957,                   0,             0.98913,             0.97112,             0.99318,             0.80393,            0.019537,            0.043639,                   0,            0.002476,            0.002476,            0.002476,             0.80393,             0.99318
                  40,            0.020693,            0.058332,                   0,             0.98597,             0.97486,             0.99327,             0.80649,            0.019656,            0.043808,                   0,            0.002278,            0.002278,            0.002278,             0.80649,             0.99327
                  41,            0.020782,            0.058258,                   0,             0.98954,             0.97492,             0.99392,             0.80783,            0.019397,            0.043169,                   0,             0.00208,             0.00208,             0.00208,             0.80783,             0.99392
                  42,            0.020366,            0.058233,                   0,             0.98593,             0.97492,             0.99367,             0.80655,            0.019468,            0.043742,                   0,            0.001882,            0.001882,            0.001882,             0.80655,             0.99367
                  43,            0.020449,            0.058885,                   0,             0.99209,             0.97492,              0.9939,              0.8078,            0.019524,            0.044729,                   0,            0.001684,            0.001684,            0.001684,              0.8078,              0.9939
                  44,            0.020316,            0.057145,                   0,             0.98811,             0.97573,             0.99318,              0.8078,            0.019403,            0.044123,                   0,            0.001486,            0.001486,            0.001486,              0.8078,             0.99318
                  45,            0.020246,            0.056937,                   0,             0.99115,             0.97492,             0.99398,             0.80802,            0.019369,            0.043768,                   0,            0.001288,            0.001288,            0.001288,             0.80802,             0.99398
                  46,            0.020394,            0.059535,                   0,             0.99193,             0.97492,              0.9939,             0.80935,            0.019351,            0.044173,                   0,             0.00109,             0.00109,             0.00109,             0.80935,              0.9939
                  47,            0.020252,            0.058292,                   0,              0.9908,              0.9765,             0.99391,             0.81266,            0.019339,            0.043624,                   0,            0.000892,            0.000892,            0.000892,             0.81266,             0.99391
                  48,            0.019927,            0.055717,                   0,             0.98812,             0.97652,             0.99386,             0.81306,            0.019247,            0.043614,                   0,            0.000694,            0.000694,            0.000694,             0.81306,             0.99386
                  49,            0.020056,            0.057601,                   0,             0.98809,             0.97398,             0.99402,              0.8125,            0.019273,            0.044028,                   0,            0.000496,            0.000496,            0.000496,              0.8125,             0.99402
