epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1828,1.07337,1.07765,1.17245,0.93278,0.90502,0.94982,0.68674,0.86504,0.6789,1.05548,0.000655367,0.000655367,0.000655367
2,22.9383,0.91406,0.59552,1.07828,0.94976,0.93823,0.97258,0.72078,0.85942,0.57599,1.06357,0.000994831,0.000994831,0.000994831
3,33.568,0.8707,0.5511,1.05085,0.97255,0.96411,0.98905,0.77856,0.76411,0.45025,1.00647,0.00100429,0.00100429,0.00100429
4,44.1741,0.81524,0.49429,1.03723,0.97516,0.97118,0.99025,0.78592,0.73269,0.3945,0.99008,0.000515,0.000515,0.000515
