experimento,modelo,split,precision,recall,map50,map50_95,f1,total_time_sec,ms_per_image,val_time_sec,detect_time_sec,match_time_sec,device
E01,YOLOv5s_autoral,pig_val (136 imgs),0.980962,0.96233,0.987809,0.786137,0.971557,46.72,343.53,38.61,7.316,0.777,0
E02,YOLOv8s_autoral,pig_val (136 imgs),0.982078,0.979723,0.983723,0.803419,0.980899,16.879,124.11,13.079,3.026,0.76,0
E03,YOLO11s_autoral,pig_val (136 imgs),0.974369,0.973718,0.982007,0.79898,0.974043,16.488,121.23,12.918,2.837,0.719,0
