               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,     metrics/pig_mAP,  metrics/pig_mAP_50
                   0,            0.094283,               0.124,                   0,             0.34241,             0.72092,             0.40252,              0.1364,            0.068711,             0.10719,                   0,            0.070508,           0.0032768,           0.0032768,              0.1364,             0.40252
                   1,            0.062983,             0.10338,                   0,             0.59549,             0.76042,             0.69904,             0.29711,            0.048271,            0.058058,                   0,            0.040247,           0.0063484,           0.0063484,             0.29711,             0.69904
                   2,            0.060893,            0.096326,                   0,              0.6386,             0.70918,             0.72888,             0.35373,            0.056897,            0.055421,                   0,           0.0097209,            0.009156,            0.009156,             0.35373,             0.72888
                   3,             0.05117,            0.090474,                   0,             0.61271,             0.82124,             0.77601,             0.41573,            0.043673,            0.056442,                   0,            0.008812,            0.008812,            0.008812,             0.41573,             0.77601
                   4,            0.045648,            0.090246,                   0,             0.97266,             0.93116,              0.9812,             0.67352,            0.030513,            0.050685,                   0,            0.008812,            0.008812,            0.008812,             0.67352,              0.9812
                   5,            0.040582,             0.08827,                   0,             0.97473,             0.94675,             0.98457,             0.67107,            0.028842,            0.053033,                   0,            0.008416,            0.008416,            0.008416,             0.67107,             0.98457
                   6,            0.036615,            0.083841,                   0,             0.97414,             0.95197,             0.98449,             0.66482,            0.030028,            0.050912,                   0,             0.00802,             0.00802,             0.00802,             0.66482,             0.98449
                   7,            0.036176,            0.084076,                   0,             0.98563,             0.95169,             0.98838,              0.6989,            0.028497,             0.04809,                   0,            0.007624,            0.007624,            0.007624,              0.6989,             0.98838
                   8,            0.034578,            0.079166,                   0,             0.97664,             0.95932,              0.9899,             0.72944,            0.026323,             0.04696,                   0,            0.007228,            0.007228,            0.007228,             0.72944,              0.9899
                   9,            0.032605,              0.0805,                   0,             0.98491,             0.96531,             0.99105,             0.70451,            0.026724,            0.048649,                   0,            0.006832,            0.006832,            0.006832,             0.70451,             0.99105
                  10,            0.030938,            0.074683,                   0,             0.97688,             0.96938,             0.99048,             0.72708,            0.025261,            0.046521,                   0,            0.006436,            0.006436,            0.006436,             0.72708,             0.99048
                  11,            0.030374,            0.073384,                   0,             0.98547,             0.96745,             0.99166,             0.76556,            0.024496,            0.045467,                   0,             0.00604,             0.00604,             0.00604,             0.76556,             0.99166
                  12,            0.028687,            0.073293,                   0,             0.98382,             0.96638,             0.99223,             0.76187,            0.023267,            0.044955,                   0,            0.005644,            0.005644,            0.005644,             0.76187,             0.99223
                  13,             0.02781,            0.075727,                   0,             0.98147,             0.96265,              0.9898,             0.74958,            0.024013,            0.045264,                   0,            0.005248,            0.005248,            0.005248,             0.74958,              0.9898
                  14,            0.027951,            0.072368,                   0,             0.97777,              0.9622,             0.99051,             0.75054,            0.023485,            0.045878,                   0,            0.004852,            0.004852,            0.004852,             0.75054,             0.99051
                  15,            0.027151,            0.070169,                   0,             0.98641,             0.96829,             0.99168,             0.77483,            0.021706,            0.044553,                   0,            0.004456,            0.004456,            0.004456,             0.77483,             0.99168
                  16,            0.026327,            0.071795,                   0,             0.98675,             0.96745,             0.99215,             0.77701,            0.021926,             0.04427,                   0,             0.00406,             0.00406,             0.00406,             0.77701,             0.99215
                  17,            0.026275,            0.069988,                   0,             0.98481,             0.96896,             0.99167,             0.77842,            0.021445,            0.044241,                   0,            0.003664,            0.003664,            0.003664,             0.77842,             0.99167
                  18,            0.025003,            0.068191,                   0,             0.98856,             0.96818,             0.99264,             0.78538,            0.021268,            0.044128,                   0,            0.003268,            0.003268,            0.003268,             0.78538,             0.99264
                  19,            0.024397,            0.066871,                   0,             0.98905,              0.9642,              0.9919,             0.78603,            0.020803,            0.044147,                   0,            0.002872,            0.002872,            0.002872,             0.78603,              0.9919
                  20,            0.023986,            0.066992,                   0,             0.98584,             0.96617,             0.99168,             0.78531,            0.021044,            0.044136,                   0,            0.002476,            0.002476,            0.002476,             0.78531,             0.99168
                  21,            0.023523,            0.066195,                   0,             0.99113,             0.96745,             0.99297,              0.7947,            0.020391,             0.04396,                   0,             0.00208,             0.00208,             0.00208,              0.7947,             0.99297
                  22,             0.02297,            0.063293,                   0,             0.98476,             0.96532,             0.99223,             0.79183,             0.02035,            0.044073,                   0,            0.001684,            0.001684,            0.001684,             0.79183,             0.99223
                  23,            0.023029,            0.062793,                   0,             0.98693,             0.96318,             0.99223,             0.79799,            0.020047,            0.044035,                   0,            0.001288,            0.001288,            0.001288,             0.79799,             0.99223
                  24,            0.022836,             0.06248,                   0,             0.98745,             0.96602,             0.99217,             0.79987,            0.020014,            0.043941,                   0,            0.000892,            0.000892,            0.000892,             0.79987,             0.99217
