               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,     metrics/pig_mAP,  metrics/pig_mAP_50
                   0,            0.094283,               0.124,                   0,             0.34241,             0.72092,             0.40252,              0.1364,            0.068711,             0.10719,                   0,            0.070508,           0.0032768,           0.0032768,              0.1364,             0.40252
                   1,            0.062896,             0.10349,                   0,             0.68522,             0.78922,             0.78684,             0.37982,            0.046854,             0.05722,                   0,            0.040181,            0.006283,            0.006283,             0.37982,             0.78684
                   2,            0.059924,            0.096932,                   0,             0.50173,             0.74493,              0.6323,              0.3082,            0.058462,            0.066878,                   0,           0.0095241,           0.0089591,           0.0089591,              0.3082,              0.6323
                   3,            0.051737,             0.09013,                   0,             0.80273,             0.86499,             0.90004,             0.49683,            0.044594,            0.058818,                   0,            0.008515,            0.008515,            0.008515,             0.49683,             0.90004
                   4,            0.044946,            0.090561,                   0,             0.93778,             0.93276,              0.9768,             0.63543,            0.031896,            0.050994,                   0,            0.008515,            0.008515,            0.008515,             0.63543,              0.9768
                   5,             0.04054,            0.088309,                   0,             0.96787,             0.94848,             0.98411,             0.66299,             0.03188,            0.054021,                   0,             0.00802,             0.00802,             0.00802,             0.66299,             0.98411
                   6,            0.036487,            0.083272,                   0,             0.98121,             0.94736,             0.98842,             0.68736,            0.030327,            0.049504,                   0,            0.007525,            0.007525,            0.007525,             0.68736,             0.98842
                   7,            0.036455,            0.083646,                   0,             0.98228,             0.95784,             0.98806,             0.69905,            0.028984,             0.04804,                   0,             0.00703,             0.00703,             0.00703,             0.69905,             0.98806
                   8,            0.034156,            0.078829,                   0,             0.97879,              0.9605,             0.98944,             0.70394,            0.027159,            0.047598,                   0,            0.006535,            0.006535,            0.006535,             0.70394,             0.98944
                   9,            0.031074,            0.080854,                   0,             0.98361,             0.96081,             0.99056,             0.71398,            0.026072,            0.047426,                   0,             0.00604,             0.00604,             0.00604,             0.71398,             0.99056
                  10,            0.030556,            0.073799,                   0,             0.98136,             0.96478,             0.98982,             0.72984,            0.024873,            0.046515,                   0,            0.005545,            0.005545,            0.005545,             0.72984,             0.98982
                  11,            0.029612,            0.072968,                   0,             0.98854,             0.96644,             0.99181,             0.76316,            0.024202,            0.045219,                   0,             0.00505,             0.00505,             0.00505,             0.76316,             0.99181
                  12,            0.028231,            0.072626,                   0,              0.9852,             0.96585,              0.9924,             0.76498,            0.023137,            0.044707,                   0,            0.004555,            0.004555,            0.004555,             0.76498,              0.9924
                  13,            0.027644,            0.074868,                   0,             0.98108,             0.96834,             0.99165,             0.76619,            0.022983,            0.044473,                   0,             0.00406,             0.00406,             0.00406,             0.76619,             0.99165
                  14,            0.026772,            0.071542,                   0,             0.97982,             0.96692,             0.99162,             0.76313,            0.022636,            0.044938,                   0,            0.003565,            0.003565,            0.003565,             0.76313,             0.99162
                  15,            0.025802,            0.069262,                   0,             0.98767,             0.96798,              0.9929,             0.78129,             0.02094,            0.043818,                   0,             0.00307,             0.00307,             0.00307,             0.78129,              0.9929
                  16,            0.025366,            0.070988,                   0,              0.9864,              0.9677,             0.99283,             0.78507,            0.021305,            0.043933,                   0,            0.002575,            0.002575,            0.002575,             0.78507,             0.99283
                  17,            0.024861,            0.068835,                   0,             0.98571,             0.96692,             0.99199,               0.787,            0.020875,            0.043845,                   0,             0.00208,             0.00208,             0.00208,               0.787,             0.99199
                  18,             0.02384,            0.067094,                   0,             0.98804,             0.96978,             0.99281,             0.78941,            0.020612,            0.043782,                   0,            0.001585,            0.001585,            0.001585,             0.78941,             0.99281
                  19,            0.023518,            0.066059,                   0,             0.98637,             0.96565,              0.9918,             0.78797,            0.020611,            0.043751,                   0,             0.00109,             0.00109,             0.00109,             0.78797,              0.9918
