epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6967,1.07337,1.07765,1.17245,0.93278,0.90502,0.94982,0.68674,0.86504,0.6789,1.05548,0.000655367,0.000655367,0.000655367
2,23.7805,0.91702,0.60116,1.07856,0.93569,0.9317,0.96559,0.72515,0.8612,0.57727,1.06879,0.00106027,0.00106027,0.00106027
3,34.617,0.88353,0.56073,1.05674,0.95326,0.95761,0.98473,0.76672,0.78708,0.46873,1.02825,0.00120118,0.00120118,0.00120118
4,45.3972,0.8411,0.51705,1.04966,0.97302,0.96224,0.99047,0.77445,0.76569,0.42365,1.01168,0.000812,0.000812,0.000812
5,56.189,0.77805,0.46514,1.00981,0.96912,0.97147,0.99162,0.78893,0.73274,0.38723,0.99401,0.000416,0.000416,0.000416
