epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.0583,0.99117,1.08701,1.12681,0.8628,0.87673,0.91435,0.64912,0.93152,0.97914,1.07401,0.000655367,0.000655367,0.000655367
2,34.3724,0.86211,0.56133,1.04666,0.94046,0.91866,0.96726,0.71146,0.88854,0.57771,1.08988,0.00119115,0.00119115,0.00119115
3,44.5921,0.84661,0.54419,1.04367,0.96064,0.9397,0.9816,0.74383,0.81877,0.52479,1.03743,0.00159494,0.00159494,0.00159494
4,54.7795,0.83256,0.50057,1.03116,0.96072,0.95276,0.9867,0.75084,0.81902,0.47081,1.04224,0.001406,0.001406,0.001406
5,65.0074,0.78447,0.46132,1.0118,0.97647,0.96478,0.99019,0.77544,0.76846,0.41546,1.0116,0.001208,0.001208,0.001208
6,75.2165,0.73741,0.42887,0.98588,0.976,0.95501,0.98964,0.77123,0.7736,0.42897,1.01453,0.00101,0.00101,0.00101
7,85.3754,0.71694,0.41124,0.97754,0.97483,0.97125,0.99182,0.77711,0.75963,0.39012,1.00307,0.000812,0.000812,0.000812
8,95.6148,0.68933,0.38461,0.9595,0.96814,0.97279,0.99021,0.79341,0.70945,0.37097,0.97802,0.000614,0.000614,0.000614
9,105.919,0.64714,0.35982,0.94201,0.97814,0.97912,0.99345,0.80596,0.69455,0.34801,0.96835,0.000416,0.000416,0.000416
10,116.165,0.61658,0.34051,0.92793,0.98206,0.97972,0.99322,0.81006,0.67948,0.33455,0.9667,0.000218,0.000218,0.000218
