epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2932,1.07337,1.07765,1.17245,0.93278,0.90502,0.94982,0.68674,0.86504,0.6789,1.05548,0.000655367,0.000655367,0.000655367
2,22.9836,0.93318,0.61574,1.08786,0.93094,0.91409,0.96723,0.7215,0.85167,0.64788,1.06395,0.00123478,0.00123478,0.00123478
3,33.546,0.92587,0.58622,1.08346,0.95959,0.95038,0.97945,0.73394,0.8229,0.51974,1.066,0.00172619,0.00172619,0.00172619
4,44.0299,0.90458,0.56025,1.08427,0.93933,0.92316,0.97286,0.72126,0.85609,0.52681,1.06801,0.001604,0.001604,0.001604
5,54.5824,0.84326,0.5161,1.04523,0.97566,0.9412,0.98708,0.77149,0.77611,0.44717,1.02582,0.001472,0.001472,0.001472
6,78.2384,0.79136,0.46546,1.02319,0.97231,0.95551,0.98806,0.75478,0.80882,0.46989,1.04539,0.00134,0.00134,0.00134
7,88.7117,0.75513,0.43818,1.00632,0.97438,0.95251,0.98496,0.75669,0.78666,0.45157,1.04387,0.001208,0.001208,0.001208
8,99.1338,0.73681,0.42327,0.99446,0.97976,0.95571,0.99185,0.78095,0.75965,0.41317,1.00794,0.001076,0.001076,0.001076
9,109.631,0.71105,0.40302,0.98229,0.98267,0.968,0.99003,0.78972,0.72697,0.38639,1.00249,0.000944,0.000944,0.000944
10,120.066,0.67319,0.37933,0.96389,0.97425,0.96897,0.98898,0.78552,0.73118,0.37615,1.00624,0.000812,0.000812,0.000812
11,130.472,0.65283,0.36506,0.95529,0.98019,0.96852,0.98958,0.79229,0.71945,0.36645,1.00501,0.00068,0.00068,0.00068
12,140.969,0.6303,0.34783,0.94669,0.96925,0.97652,0.99182,0.80004,0.70454,0.36066,0.99133,0.000548,0.000548,0.000548
13,151.157,0.60874,0.33453,0.93053,0.98278,0.97461,0.99245,0.80238,0.69937,0.34486,0.9925,0.000416,0.000416,0.000416
14,161.293,0.59222,0.32459,0.92676,0.98503,0.98289,0.9935,0.81105,0.68748,0.32676,0.98735,0.000284,0.000284,0.000284
15,171.415,0.55944,0.30677,0.90935,0.98635,0.98026,0.99361,0.81326,0.68224,0.32351,0.98137,0.000152,0.000152,0.000152
