               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,     metrics/pig_mAP,  metrics/pig_mAP_50
                   0,            0.094283,               0.124,                   0,             0.34241,             0.72092,             0.40252,              0.1364,            0.068711,             0.10719,                   0,            0.070508,           0.0032768,           0.0032768,              0.1364,             0.40252
                   1,            0.059925,             0.10419,                   0,             0.50884,             0.71345,             0.61667,             0.27229,            0.054381,            0.058794,                   0,            0.038872,           0.0049742,           0.0049742,             0.27229,             0.61667
                   2,            0.053905,            0.097588,                   0,             0.85217,             0.86128,             0.91043,             0.43975,            0.045301,            0.054301,                   0,           0.0055864,           0.0050215,           0.0050215,             0.43975,             0.91043
                   3,            0.044117,            0.090216,                   0,             0.95198,             0.91729,             0.97359,             0.63757,            0.032518,            0.052065,                   0,            0.002575,            0.002575,            0.002575,             0.63757,             0.97359
