epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1934,1.06027,0.95674,1.16742,0.93956,0.9317,0.9697,0.72411,0.87155,0.77473,1.06537,0.000655367,0.000655367,0.000655367
2,29.4454,0.9556,0.6226,1.09202,0.88642,0.91729,0.94318,0.67118,0.94622,0.71084,1.10056,0.00123478,0.00123478,0.00123478
3,40.5696,0.96487,0.60856,1.10112,0.87222,0.85965,0.90292,0.62058,1.00293,0.82565,1.14243,0.00172619,0.00172619,0.00172619
4,51.6262,0.93618,0.57837,1.09503,0.91127,0.89882,0.9598,0.7299,0.86728,0.67267,1.07112,0.001604,0.001604,0.001604
5,62.645,0.89352,0.54019,1.06466,0.92567,0.93703,0.97841,0.74103,0.85778,0.52379,1.04962,0.001472,0.001472,0.001472
6,86.785,0.81699,0.48061,1.02743,0.93972,0.94397,0.9779,0.7396,0.82365,0.52351,1.04951,0.00134,0.00134,0.00134
7,97.3415,0.78651,0.45825,1.01514,0.89729,0.92049,0.96298,0.73958,0.81499,0.56969,1.03792,0.001208,0.001208,0.001208
8,107.931,0.76544,0.44262,0.99698,0.95521,0.95624,0.98598,0.75838,0.79198,0.45329,1.03191,0.001076,0.001076,0.001076
9,118.35,0.73339,0.42248,0.98437,0.97163,0.95838,0.99021,0.78437,0.73252,0.39493,0.98492,0.000944,0.000944,0.000944
10,128.745,0.69576,0.39517,0.96779,0.97494,0.95487,0.99051,0.78193,0.74475,0.39899,1.00715,0.000812,0.000812,0.000812
11,139.089,0.69356,0.38997,0.96159,0.98012,0.96425,0.99117,0.79658,0.71502,0.37335,0.9749,0.00068,0.00068,0.00068
12,149.674,0.66076,0.36993,0.95211,0.97742,0.97015,0.9928,0.79486,0.72618,0.37957,0.98304,0.000548,0.000548,0.000548
13,160.745,0.63838,0.35441,0.93743,0.97544,0.97481,0.9926,0.79801,0.70198,0.35856,0.9744,0.000416,0.000416,0.000416
14,171.515,0.62661,0.34495,0.93455,0.98086,0.97065,0.99329,0.80695,0.68929,0.3491,0.96697,0.000284,0.000284,0.000284
15,182.182,0.591,0.32674,0.91747,0.9789,0.97812,0.99282,0.81134,0.68366,0.33046,0.97025,0.000152,0.000152,0.000152
