epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5424,1.07337,1.07765,1.17245,0.93278,0.90502,0.94982,0.68674,0.86504,0.6789,1.05548,0.000655367,0.000655367,0.000655367
2,23.1778,0.90565,0.58726,1.07318,0.96704,0.94344,0.9819,0.74735,0.79135,0.49623,1.02823,0.000885763,0.000885763,0.000885763
3,33.7107,0.84958,0.53907,1.04449,0.97412,0.96051,0.99055,0.77351,0.75702,0.43253,1.00641,0.000676158,0.000676158,0.000676158
