epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6507,1.06027,0.95674,1.16742,0.93956,0.9317,0.9697,0.72411,0.87155,0.77473,1.06537,0.000655367,0.000655367,0.000655367
2,28.9482,0.9627,0.62867,1.09434,0.89958,0.88741,0.94331,0.65213,0.98604,0.69652,1.1303,0.00129586,0.00129586,0.00129586
3,39.9773,0.9818,0.62465,1.10825,0.91318,0.92209,0.95865,0.68257,0.93351,0.62984,1.0938,0.00190995,0.00190995,0.00190995
4,50.8543,0.95065,0.59273,1.09789,0.92607,0.92909,0.96836,0.71821,0.89055,0.6748,1.09732,0.0018812,0.0018812,0.0018812
5,61.6124,0.90933,0.55751,1.07035,0.86703,0.91512,0.91975,0.68126,0.88849,0.70449,1.07165,0.0018416,0.0018416,0.0018416
6,72.4253,0.8831,0.5375,1.06127,0.94801,0.94557,0.97781,0.73029,0.86038,0.63291,1.06788,0.001802,0.001802,0.001802
7,83.1459,0.86816,0.52882,1.05709,0.95464,0.95091,0.98202,0.75008,0.8192,0.48742,1.0425,0.0017624,0.0017624,0.0017624
8,93.8926,0.86331,0.51443,1.05185,0.94553,0.89847,0.96503,0.73278,0.83234,0.51735,1.04455,0.0017228,0.0017228,0.0017228
9,104.536,0.83142,0.50187,1.03652,0.9679,0.95358,0.98547,0.76185,0.80166,0.45508,1.03459,0.0016832,0.0016832,0.0016832
10,115.287,0.83325,0.49685,1.03838,0.96498,0.96318,0.98829,0.75452,0.83663,0.45452,1.04443,0.0016436,0.0016436,0.0016436
11,125.995,0.81496,0.48045,1.02099,0.96084,0.97332,0.98851,0.77254,0.7758,0.41636,1.00762,0.001604,0.001604,0.001604
12,136.735,0.79874,0.46633,1.01899,0.96263,0.9622,0.98853,0.75887,0.816,0.43238,1.03525,0.0015644,0.0015644,0.0015644
13,147.416,0.7792,0.46203,1.01314,0.94629,0.94023,0.98026,0.73104,0.85526,0.46402,1.04663,0.0015248,0.0015248,0.0015248
14,158.098,0.76896,0.4559,1.00606,0.97236,0.95945,0.98708,0.77819,0.77555,0.40748,1.0011,0.0014852,0.0014852,0.0014852
15,168.836,0.76229,0.44538,0.99939,0.97439,0.96905,0.99011,0.78161,0.75304,0.39837,1.01071,0.0014456,0.0014456,0.0014456
16,179.583,0.75691,0.4418,0.99762,0.96913,0.96958,0.99053,0.78267,0.76166,0.39552,1.00154,0.001406,0.001406,0.001406
17,190.367,0.74187,0.43317,0.9898,0.97158,0.96689,0.98857,0.78445,0.73114,0.38829,0.98799,0.0013664,0.0013664,0.0013664
18,201.075,0.73629,0.43354,0.98973,0.98243,0.95197,0.98931,0.78439,0.7394,0.3885,0.98567,0.0013268,0.0013268,0.0013268
19,211.846,0.72374,0.42381,0.98042,0.97511,0.9616,0.98801,0.78223,0.75581,0.39466,1.00301,0.0012872,0.0012872,0.0012872
20,222.602,0.72406,0.42451,0.97909,0.97466,0.9647,0.99153,0.7878,0.74046,0.38711,0.99859,0.0012476,0.0012476,0.0012476
21,233.418,0.72738,0.43132,0.99034,0.97182,0.97551,0.99043,0.79263,0.72274,0.3764,0.98427,0.001208,0.001208,0.001208
22,244.333,0.7161,0.41829,0.98405,0.97853,0.97271,0.99038,0.79261,0.71794,0.36546,0.99332,0.0011684,0.0011684,0.0011684
23,255.105,0.6957,0.40347,0.97461,0.97587,0.96585,0.99002,0.7792,0.74776,0.38045,1.00275,0.0011288,0.0011288,0.0011288
24,266.188,0.69014,0.39916,0.96794,0.97976,0.96371,0.98865,0.79228,0.73398,0.36939,0.98901,0.0010892,0.0010892,0.0010892
25,277.13,0.69119,0.40211,0.97,0.97439,0.96798,0.99095,0.79193,0.71951,0.36166,0.9896,0.0010496,0.0010496,0.0010496
26,288.07,0.6747,0.39379,0.96258,0.98434,0.97267,0.9928,0.79244,0.72224,0.35148,0.9924,0.00101,0.00101,0.00101
