epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.6045,0.9756,0.88655,1.10838,0.77834,0.76041,0.84953,0.60273,0.94336,1.24471,1.08753,0.000655367,0.000655367,0.000655367
2,40.1936,0.90674,0.57611,1.05997,0.76266,0.77054,0.80711,0.50527,1.23816,1.30592,1.3978,0.00119115,0.00119115,0.00119115
3,50.5197,0.88604,0.54681,1.05705,0.91986,0.89419,0.95836,0.71381,0.86978,0.63602,1.07279,0.00159494,0.00159494,0.00159494
4,60.9619,0.85297,0.51308,1.03545,0.95334,0.9376,0.97604,0.72457,0.84696,0.55467,1.03208,0.001406,0.001406,0.001406
5,71.3491,0.81554,0.4865,1.01735,0.94896,0.95249,0.98193,0.74395,0.81083,0.53586,1.03146,0.001208,0.001208,0.001208
6,81.7243,0.7836,0.45224,0.99825,0.96723,0.95784,0.98755,0.76615,0.78948,0.45178,1.00672,0.00101,0.00101,0.00101
7,92.0792,0.7356,0.42574,0.98287,0.97057,0.96774,0.98831,0.76181,0.76852,0.41271,1.00749,0.000812,0.000812,0.000812
8,102.364,0.71477,0.40476,0.9672,0.96885,0.96265,0.98723,0.77932,0.73873,0.40354,0.98702,0.000614,0.000614,0.000614
9,112.71,0.68155,0.38099,0.95122,0.98118,0.9737,0.99169,0.80218,0.70467,0.36472,0.95783,0.000416,0.000416,0.000416
10,123.134,0.64621,0.35671,0.93507,0.97517,0.97332,0.99117,0.80619,0.68368,0.35499,0.95135,0.000218,0.000218,0.000218
