               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,     metrics/pig_mAP,  metrics/pig_mAP_50
                   0,            0.094283,               0.124,                   0,             0.34241,             0.72092,             0.40252,              0.1364,            0.068711,             0.10719,                   0,            0.070508,           0.0032768,           0.0032768,              0.1364,             0.40252
                   1,            0.060877,             0.10413,                   0,             0.71298,             0.77941,             0.79869,             0.33493,             0.04861,            0.057619,                   0,              0.0392,           0.0053014,           0.0053014,             0.33493,             0.79869
                   2,            0.055519,            0.097251,                   0,             0.59333,             0.77801,             0.75919,             0.37375,            0.050435,            0.056516,                   0,           0.0065708,           0.0060059,           0.0060059,             0.37375,             0.75919
                   3,            0.046727,             0.09027,                   0,             0.80409,             0.89381,             0.90643,             0.53879,            0.039598,            0.053865,                   0,             0.00406,             0.00406,             0.00406,             0.53879,             0.90643
                   4,            0.042857,            0.090563,                   0,             0.95163,             0.93428,             0.97544,             0.62687,            0.032806,            0.051118,                   0,             0.00406,             0.00406,             0.00406,             0.62687,             0.97544
