               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,     metrics/pig_mAP,  metrics/pig_mAP_50
                   0,            0.094283,               0.124,                   0,             0.34241,             0.72092,             0.40252,              0.1364,            0.068711,             0.10719,                   0,            0.070508,           0.0032768,           0.0032768,              0.1364,             0.40252
                   1,            0.062434,             0.10341,                   0,             0.72113,             0.75454,             0.79584,             0.29566,            0.054478,            0.057678,                   0,            0.040072,           0.0061739,           0.0061739,             0.29566,             0.79584
                   2,            0.061099,            0.096468,                   0,              0.4427,             0.82444,             0.52947,              0.2024,             0.05271,            0.065294,                   0,           0.0091959,            0.008631,            0.008631,              0.2024,             0.52947
                   3,            0.050945,            0.090429,                   0,             0.79408,             0.83351,             0.91356,              0.5087,            0.042204,            0.056396,                   0,             0.00802,             0.00802,             0.00802,              0.5087,             0.91356
                   4,            0.044808,            0.090388,                   0,             0.87196,             0.92666,             0.94792,             0.60034,            0.038085,            0.052673,                   0,             0.00802,             0.00802,             0.00802,             0.60034,             0.94792
                   5,            0.040073,            0.087483,                   0,             0.81811,             0.89767,             0.94612,             0.63796,              0.0326,            0.052242,                   0,             0.00736,             0.00736,             0.00736,             0.63796,             0.94612
                   6,            0.035809,            0.082468,                   0,             0.97436,             0.94717,             0.98716,             0.69682,            0.029279,             0.04856,                   0,              0.0067,              0.0067,              0.0067,             0.69682,             0.98716
                   7,            0.035519,            0.083272,                   0,             0.97873,             0.95741,             0.98904,             0.69756,            0.028307,            0.048071,                   0,             0.00604,             0.00604,             0.00604,             0.69756,             0.98904
                   8,            0.032779,            0.078294,                   0,             0.97978,             0.95665,             0.98881,             0.71544,            0.026738,            0.047707,                   0,             0.00538,             0.00538,             0.00538,             0.71544,             0.98881
                   9,            0.031079,            0.079479,                   0,             0.98612,             0.96158,             0.99097,              0.7352,            0.024596,            0.046154,                   0,             0.00472,             0.00472,             0.00472,              0.7352,             0.99097
                  10,            0.028883,            0.072919,                   0,             0.98318,              0.9672,              0.9912,             0.76082,            0.023588,            0.045795,                   0,             0.00406,             0.00406,             0.00406,             0.76082,              0.9912
                  11,            0.028005,            0.071998,                   0,             0.98001,             0.96776,             0.99147,             0.76597,            0.022793,            0.044527,                   0,              0.0034,              0.0034,              0.0034,             0.76597,             0.99147
                  12,            0.026985,            0.071639,                   0,             0.98527,             0.96362,             0.99131,             0.76649,            0.022575,              0.0442,                   0,             0.00274,             0.00274,             0.00274,             0.76649,             0.99131
                  13,            0.026118,            0.073561,                   0,             0.98756,             0.96638,             0.99163,             0.77743,            0.021606,            0.043974,                   0,             0.00208,             0.00208,             0.00208,             0.77743,             0.99163
                  14,            0.025311,            0.070452,                   0,             0.98138,             0.96371,             0.99124,             0.77941,            0.021029,            0.043634,                   0,             0.00142,             0.00142,             0.00142,             0.77941,             0.99124
