epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6705,1.06027,0.95674,1.16742,0.93956,0.9317,0.9697,0.72411,0.87155,0.77473,1.06537,0.000655367,0.000655367,0.000655367
2,28.5823,0.92532,0.58933,1.0751,0.88849,0.90984,0.94484,0.69768,0.88192,0.72705,1.05163,0.000885763,0.000885763,0.000885763
3,39.2876,0.88654,0.54809,1.05682,0.97254,0.9639,0.98931,0.76736,0.76369,0.43957,0.9968,0.000676158,0.000676158,0.000676158
